City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,xiaoweizhai,26.1903,107.5125,63.81,90,100,2.19,CN,1714949589
321,lebu,-37.6167,-73.65,49.21,76,59,10.96,CL,1714949297
322,makurazaki,31.2667,130.3167,67.84,98,100,17.76,JP,1714949589
323,belyy yar,53.6039,91.3903,49.89,81,0,4.47,RU,1714949589
324,zalari,53.5584,102.5065,52.29,58,92,9.17,RU,1714949589
325,krasnyy kut,50.95,46.9667,50.07,42,68,20.69,RU,1714949589
326,blackwater,-23.5833,148.8833,72.84,64,7,5.91,AU,1714949589
327,dili,-8.5586,125.5736,79.83,77,100,3.0,TL,1714949589
328,coyhaique,-45.5752,-72.0662,35.55,80,100,5.75,CL,1714949590
329,chadron,42.8294,-102.9999,65.88,55,0,26.46,US,1714949590
330,yemel'yanovo,56.1681,92.6767,54.09,100,0,8.95,RU,1714949590
331,ta`u,-14.2336,-169.5144,82.72,81,95,10.63,AS,1714949590
332,malavalli,12.3833,77.0833,76.96,71,7,5.44,IN,1714949590
333,oranjemund,-28.55,16.4333,58.08,69,0,1.77,NA,1714949590
334,yung shue wan,22.2333,114.1167,78.31,92,40,2.21,HK,1714949590
335,deqen,29.9618,90.7188,34.18,90,100,3.31,CN,1714949590
336,kabalo,-6.05,26.9167,71.19,73,80,3.94,CD,1714949591
337,thunder bay,48.4001,-89.3168,64.31,27,20,17.27,CA,1714949033
338,wuppertal,51.2667,7.1833,56.75,86,100,3.24,DE,1714949504
339,ust'-kut,56.7938,105.7672,51.42,69,100,4.45,RU,1714949591
340,primero de mayo,-32.2552,-58.4228,65.55,94,95,6.91,AR,1714949591
341,geraldton,-28.7667,114.6,50.41,87,0,8.05,AU,1714949295
342,berck-plage,50.407,1.5645,52.18,93,40,4.61,FR,1714949591
343,okhotsk,59.3833,143.3,36.52,82,72,2.28,RU,1714949591
344,oroqen zizhiqi,50.5667,123.7167,52.34,35,1,1.45,CN,1714949592
345,talnakh,69.4865,88.3972,8.2,81,22,4.25,RU,1714949592
346,roxas,11.5853,122.7511,83.14,82,25,6.42,PH,1714949592
347,qarchi gak,37.04,66.7889,71.96,56,2,18.03,AF,1714949592
348,puerto aysen,-45.4,-72.7,33.71,98,100,1.97,CL,1714949297
349,igarka,67.4667,86.5833,24.03,78,100,11.99,RU,1714949592
350,madang,-5.2246,145.7966,84.2,74,96,4.56,PG,1714949592
351,gunnison,38.7,-107.0673,56.25,36,99,13.38,US,1714949592
352,broken hill,-31.95,141.4333,56.62,52,0,13.8,AU,1714949593
353,shimo-furano,43.35,142.3833,55.8,86,100,4.52,JP,1714949593
354,newman,37.3138,-121.0208,64.63,50,21,8.99,US,1714949593
355,as sulayyil,20.4607,45.5779,84.45,49,0,13.62,SA,1714949593
356,suva,-18.1416,178.4415,80.08,94,75,8.05,FJ,1714949593
357,fort st. john,56.2499,-120.8529,62.49,23,20,4.61,CA,1714949482
358,smithers,54.7804,-127.1743,52.12,82,100,4.61,CA,1714949593
359,borogontsy,62.6683,131.1683,44.06,68,35,7.43,RU,1714949594
